"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @pseanmc: Serious #scicomm impact at #ICRS2016  https://t.co/xtgCm8KSj8",FALSE,0,NA,2016-06-21 22:47:53,FALSE,NA,"745387794223271936",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Envir495F",3,TRUE,FALSE,NA,NA
"Up next at 1pm: Plenary speaker Aulani Wilhelm #ExpandPMNM #ICRS2016 https://t.co/avQRS2qtdx",FALSE,4,NA,2016-06-21 22:46:44,FALSE,NA,"745387503943712768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoralCoE",1,FALSE,FALSE,NA,NA
"@StephenBHeard @hadleywickham @hormiga @RallidaeRule yes agreed - thanks - had to tap out to speak - at #icrs2016",FALSE,1,"StephenBHeard",2016-06-21 22:46:24,FALSE,"745384974363201536","745387422339325952","2862441010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ultimatemegs",0,FALSE,FALSE,NA,NA
"RT @DrEmmaLJohnston: If you can't keep up with #ICRS2016 Chris Brown is writing neat summaries of the #Coral Reef Symposium in Hawaii.  htt…",FALSE,0,NA,2016-06-21 22:45:28,FALSE,NA,"745387188066656257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FredrikMoberg",27,TRUE,FALSE,NA,NA
"Looking forward to Aulani Wilhem's talk on #ocean heritage in Hawaii, about to start! @ConservationOrg #ICRS2016 https://t.co/EbYIzCtJqQ",FALSE,1,NA,2016-06-21 22:45:05,FALSE,NA,"745387090339258368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OceanTippingPts",0,FALSE,FALSE,NA,NA
"#ICRS2016 presentation by Nils Krueck coming up in 1h: https://t.co/7wvPgtgTFz | #CoralTalk @ICRS2016 https://t.co/YzHjzJohWc",FALSE,0,NA,2016-06-21 22:45:04,FALSE,NA,"745387085251522560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CoralCoE",0,FALSE,FALSE,NA,NA
"#ICRS2016 presentation by Melissa Rocker coming up in 1h: https://t.co/phMNd89CW9 | #CoralTalk @ICRS2016 https://t.co/u84FI1IWdG",FALSE,1,NA,2016-06-21 22:45:03,FALSE,NA,"745387083401834496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CoralCoE",1,FALSE,FALSE,NA,NA
"RT @pseanmc: Serious #scicomm impact at #ICRS2016  https://t.co/xtgCm8KSj8",FALSE,0,NA,2016-06-21 22:41:58,FALSE,NA,"745386306788720641",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NathanEagle",3,TRUE,FALSE,NA,NA
"Ukulele playing shark at #ICRS2016 - I'm pretty ok with this lol https://t.co/NPqHMOFSzk",FALSE,0,NA,2016-06-21 22:41:48,FALSE,NA,"745386265416077313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","contessa_ricci",1,FALSE,FALSE,NA,NA
"RT @bellwoodlab: After lunch see @buzzgoatley  &amp; @SB_Tebbett talk about the impact of sediments on reef fishes #ICRS2016 @CoralCoE  14:00 r…",FALSE,0,NA,2016-06-21 22:40:04,FALSE,NA,"745385825806880768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoralCoE",4,TRUE,FALSE,NA,NA
"RT @RJLilley: We can't afford to lose any more pieces...

Follow @ProjectSeagrass and @ZosteraR 

#TeamSeagrass #ICRS2016 https://t.co/gPNV…",FALSE,0,NA,2016-06-21 22:40:01,FALSE,NA,"745385814100684800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MonettiJoanna",2,TRUE,FALSE,NA,NA
"After lunch see @buzzgoatley  &amp; @SB_Tebbett talk about the impact of sediments on reef fishes #ICRS2016 @CoralCoE  14:00 room 306 A/B",FALSE,0,NA,2016-06-21 22:39:38,FALSE,NA,"745385717904244737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellwoodlab",4,FALSE,FALSE,NA,NA
"RT @pseanmc: Serious #scicomm impact at #ICRS2016  https://t.co/xtgCm8KSj8",FALSE,0,NA,2016-06-21 22:39:20,FALSE,NA,"745385643530981376",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","FreelanceSciWri",3,TRUE,FALSE,NA,NA
"Building capacity in local managers to foster passion for conservation. Inspiring talk @JeniOLeary! #ICRS2016",FALSE,3,NA,2016-06-21 22:37:59,FALSE,NA,"745385302630367232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robert_p_streit",3,FALSE,FALSE,NA,NA
"""Look! There's a guy in a shark suit playing the ukulele!"" #ICRS2016 https://t.co/yBHD4EMhz4",FALSE,2,NA,2016-06-21 22:37:38,FALSE,NA,"745385215699390465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sararoxyoursox",2,FALSE,FALSE,NA,NA
"RT @fishiintheC: #MPAs cannot protect reefs from severe climate events like 28 weeks of alerts 2 bleaching(!) on Kiritimati @baumlab #ICRS2…",FALSE,0,NA,2016-06-21 22:37:34,FALSE,NA,"745385198389362688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","DanBacher",1,TRUE,FALSE,NA,NA
"Serious #scicomm impact at #ICRS2016  https://t.co/xtgCm8KSj8",FALSE,8,NA,2016-06-21 22:36:26,FALSE,NA,"745384912643993600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pseanmc",3,FALSE,FALSE,NA,NA
